GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",94.120,98.115,95.976,103.508,102.643,107.786,103.653,100.525,100.000,98.199,100.412,103.536,102.794,101.964,105.894,113.567,112.736
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",93.016,97.385,94.726,103.824,103.386,109.636,104.834,100.724,100.000,98.147,100.804,104.878,104.550,103.337,107.804,116.213,115.094
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",132.573,186.564,172.781,195.521,192.754,275.321,178.223,102.484,100.000,77.470,62.455,80.441,85.263,91.394,104.153,133.096,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,0.000,16.901,23.325,16.278,26.837,84.543,100.000,90.656,3.136,2.138,12.945,56.932,116.329,138.867,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",178.791,147.155,185.997,153.206,122.730,35.898,66.468,130.257,100.000,48.348,0.000,0.000,0.000,(D),60.559,271.837,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",76.546,81.679,87.831,99.863,103.002,108.139,170.587,92.165,100.000,82.339,71.961,115.655,109.106,102.087,95.926,89.112,91.358
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",132.311,115.813,110.173,109.818,113.009,124.513,133.281,125.814,100.000,94.843,93.713,91.088,98.750,104.442,112.873,117.287,125.419
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",77.334,83.173,80.181,102.774,98.627,99.044,86.352,88.634,100.000,94.534,103.319,101.092,104.602,91.185,93.477,106.048,97.416
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",(D),74.778,76.701,100.441,96.306,101.208,82.734,86.111,100.000,94.003,115.066,117.812,126.634,109.653,116.472,127.545,124.453
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",119.174,126.390,135.770,171.968,164.360,151.332,136.267,72.448,100.000,131.849,152.643,160.931,153.212,122.001,124.994,127.201,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",68.653,64.653,65.602,92.402,82.579,91.719,58.942,73.766,100.000,60.109,81.047,88.868,108.881,98.614,115.329,141.418,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",120.717,142.474,135.583,126.651,148.740,161.735,184.945,172.120,100.000,124.306,137.756,165.476,167.066,178.924,187.531,198.958,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",69.182,67.195,65.288,89.328,121.696,117.042,147.235,147.543,100.000,105.387,118.501,99.927,148.067,144.216,127.590,114.673,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",13.217,9.002,14.243,26.948,28.461,43.369,50.713,81.018,100.000,133.813,146.061,126.047,93.529,67.922,57.494,56.077,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",63.315,44.597,40.122,33.548,34.997,45.225,44.606,63.069,100.000,104.926,69.308,56.140,(D),51.526,(D),(D),(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",251.784,400.740,358.509,224.359,275.950,289.023,147.535,144.067,100.000,75.016,86.027,96.329,117.567,132.662,164.010,176.590,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",24,"339","    Miscellaneous manufacturing",75.015,79.252,64.072,56.102,75.283,81.962,97.537,114.558,100.000,100.528,98.568,134.926,154.804,150.875,107.163,103.142,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",25,"311-316,322-326","   Nondurable goods manufacturing",(D),96.484,85.814,106.343,102.204,94.094,92.526,92.819,100.000,95.292,87.025,78.173,74.830,66.184,62.761,76.434,61.881
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),89.600,94.572,105.684,110.282,107.162,85.656,100.000,79.745,79.938,83.148,(D),89.578,95.363,(D),(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",29,"322","    Paper manufacturing",64.878,88.822,69.634,99.440,104.396,90.595,82.660,80.050,100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",30,"323","    Printing and related support activities",129.061,161.169,128.758,102.807,83.517,89.139,130.543,163.428,100.000,145.209,173.082,182.002,142.257,126.130,51.971,51.372,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",31,"324","    Petroleum and coal products manufacturing",96.463,83.258,124.393,143.912,50.366,134.353,166.823,522.722,100.000,132.562,439.128,360.171,170.611,64.901,0.000,0.000,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",32,"325","    Chemical manufacturing",149.468,138.381,160.772,208.398,130.961,113.981,119.814,114.979,100.000,94.964,94.049,69.447,94.270,90.833,104.802,107.613,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",33,"326","    Plastics and rubber products manufacturing",90.739,92.458,96.790,89.499,85.608,73.448,85.869,89.570,100.000,170.620,142.541,134.451,99.479,78.889,72.144,81.874,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",34,"42","  Wholesale trade",93.935,95.241,94.230,88.713,98.829,110.770,126.016,125.535,100.000,97.979,96.644,100.110,103.336,110.033,112.226,119.066,121.555
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",35,"44-45","  Retail trade",84.455,95.983,99.850,105.792,110.756,115.871,109.815,102.559,100.000,109.530,107.195,112.693,113.811,122.566,133.045,146.699,152.897
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",36,"48-49","  Transportation and warehousing",81.024,84.323,88.614,97.827,102.607,103.646,105.516,112.971,100.000,101.535,100.142,106.976,103.304,103.723,101.929,109.414,115.003
