GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",83.095,87.379,94.567,103.899,106.531,108.707,104.390,101.690,100.000,98.297,99.733,101.273,97.803,101.365,107.501,110.307,115.054
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",78.183,82.637,90.842,101.929,105.983,109.411,105.324,102.408,100.000,98.090,100.033,102.343,99.078,102.876,109.875,112.756,118.115
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",122.625,146.415,175.398,(D),156.719,167.615,162.774,166.817,100.000,(D),(D),(D),(D),(D),(D),(D),(D)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",107.100,137.779,155.180,(D),121.120,145.904,162.926,166.817,100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",365.513,158.128,196.124,(D),258.387,315.902,401.262,266.496,100.000,(D),(D),(D),(D),(D),(D),(D),(D)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",3.583,2.667,2.983,0.000,0.000,5.794,154.081,22.459,100.000,293.721,82.079,0.734,2.075,0.166,0.000,0.000,(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",385.374,166.685,206.749,(D),272.557,332.944,416.266,280.405,100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,157.796,4.475,0.000,0.000,0.000,0.000,0.000,(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",139.138,140.789,155.247,178.058,206.123,190.733,161.161,118.488,100.000,87.196,81.941,82.881,79.611,75.610,78.584,85.602,92.344
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",45.653,51.529,58.021,75.021,78.358,97.002,101.718,114.742,100.000,99.900,109.936,104.382,96.429,98.967,102.835,100.200,103.005
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",44.305,48.770,55.971,(D),76.419,(D),(D),115.336,100.000,97.602,112.726,112.670,98.797,101.070,103.551,100.561,102.713
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",199.998,198.382,154.385,161.162,174.553,166.090,186.761,135.456,100.000,121.110,154.489,173.902,166.572,157.788,179.940,151.322,(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",53.835,104.555,124.415,298.219,298.056,299.922,258.053,197.288,100.000,88.675,141.711,91.361,101.368,112.698,124.372,103.627,(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",0.000,0.000,0.000,0.000,473.246,390.022,324.333,800.618,100.000,20.006,0.000,33.050,85.747,(D),(D),252.477,(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",103.008,114.253,131.371,136.101,147.845,149.333,167.080,132.760,100.000,102.815,112.706,136.428,128.220,130.430,142.236,148.821,(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",17.154,18.228,23.867,40.139,39.134,66.381,72.573,108.451,100.000,89.878,105.263,101.893,77.451,74.998,69.980,70.366,(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),45.691,63.109,90.727,112.373,125.785,124.731,125.801,100.000,123.538,129.839,(D),(D),(D),(D),(D),(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24420" ,"Grants Pass, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",98.482,140.202,206.375,215.675,226.845,216.625,167.067,145.631,100.000,90.894,94.636,100.396,113.302,136.320,164.359,(D),(NA)
