GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",96.353,99.300,102.434,107.612,107.709,105.705,104.048,102.457,100.000,97.350,98.671,101.743,104.240,107.250,111.571,117.570,120.657
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",95.150,98.169,101.861,107.893,108.938,106.758,105.088,102.964,100.000,97.412,98.620,102.477,105.679,109.052,113.889,120.512,124.072
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",65.827,74.602,80.495,80.408,79.853,102.045,102.809,95.164,100.000,67.018,60.716,69.342,76.379,88.733,99.104,108.487,118.881
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",61.331,58.396,71.850,67.850,76.217,82.193,58.734,50.891,100.000,76.975,68.889,79.392,87.993,107.744,123.548,155.562,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",67.743,80.704,83.865,85.426,81.147,109.227,119.739,112.349,100.000,63.486,57.879,65.750,72.155,81.267,89.513,91.609,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",123.996,103.397,126.510,162.761,181.514,176.132,178.372,117.053,100.000,39.970,33.239,32.276,60.887,64.978,65.798,79.814,83.882
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,0.000,0.000,0.000,1.090,18.027,8.764,100.000,5.099,13.744,0.310,0.530,0.942,0.000,0.000,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",129.527,108.014,132.105,170.067,189.662,183.979,185.475,121.870,100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",170.183,160.987,178.077,191.531,177.092,180.612,162.150,138.702,100.000,76.278,77.924,81.173,92.371,94.064,107.276,119.921,125.742
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",85.709,82.257,80.272,90.405,85.076,91.818,102.154,105.763,100.000,107.376,105.914,110.563,122.074,118.866,119.878,118.794,121.070
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",87.609,84.919,82.221,101.489,99.220,101.903,109.210,121.070,100.000,124.594,124.473,140.775,151.312,145.040,138.898,141.195,142.869
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",139.276,137.736,127.015,133.871,129.540,119.361,130.049,140.142,100.000,101.577,123.925,153.088,159.833,150.236,155.530,145.648,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",408.739,380.661,369.015,706.576,542.315,219.153,194.803,161.877,100.000,112.260,179.710,144.053,147.326,145.422,151.108,146.153,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",170.337,199.477,202.976,190.516,172.777,172.626,202.721,169.670,100.000,102.878,110.166,134.676,142.098,159.721,158.656,176.932,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",129.870,167.889,129.184,138.491,144.809,140.074,149.599,136.557,100.000,123.380,133.171,124.540,186.213,192.427,185.693,196.033,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",12.148,4.409,7.800,23.907,29.495,54.772,61.644,96.277,100.000,122.697,108.681,127.694,120.560,103.958,94.040,94.147,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),105.177,136.132,121.030,104.873,(D),(D),161.709,100.000,(D),(D),(D),(D),703.238,596.573,(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),165.644,179.467,160.439,149.571,(D),(D),92.494,100.000,(D),(D),(D),(D),663.193,505.794,(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",201.977,245.089,261.942,230.241,249.933,243.926,208.370,162.934,100.000,85.766,92.580,95.474,101.688,85.544,111.541,128.054,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",24,"339","    Miscellaneous manufacturing",101.029,107.825,91.467,110.639,101.613,97.527,96.349,102.221,100.000,122.120,110.154,119.136,123.771,107.259,88.895,91.237,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",25,"311-316,322-326","   Nondurable goods manufacturing",86.569,81.673,80.794,75.536,64.578,78.394,93.810,85.460,100.000,85.476,82.365,73.194,85.697,86.240,95.914,90.834,93.793
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",26,"311-312","    Food and beverage and tobacco products manufacturing",29.541,33.858,36.579,36.920,36.233,49.554,79.057,78.120,100.000,75.491,68.188,66.233,76.616,83.943,88.986,81.167,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",27,"313-314","    Textile mills and textile product mills",60.601,68.076,49.210,110.683,124.450,161.956,251.656,122.636,100.000,90.414,71.221,91.512,76.539,82.627,83.213,73.589,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),100.000,93.020,67.948,55.298,49.092,(D),62.224,61.189,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",30,"323","    Printing and related support activities",96.215,102.360,101.862,99.911,97.784,110.940,125.291,121.119,100.000,105.850,125.694,115.416,(D),109.668,98.814,86.613,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",32,"325","    Chemical manufacturing",200.491,173.836,164.844,142.953,107.516,123.284,109.495,88.992,100.000,98.006,100.698,80.041,101.408,88.389,108.960,109.849,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",33,"326","    Plastics and rubber products manufacturing",282.231,224.591,268.338,225.548,192.496,157.954,130.662,111.303,100.000,113.683,90.936,(D),(D),(D),36.925,34.067,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",34,"42","  Wholesale trade",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",35,"44-45","  Retail trade",106.889,110.041,111.235,115.044,123.040,119.763,117.175,101.946,100.000,98.070,97.010,98.310,104.054,105.467,109.951,119.155,125.279
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",36,"48-49","  Transportation and warehousing",83.485,86.098,90.711,102.284,(D),(D),(D),111.411,100.000,106.928,113.831,124.797,130.915,138.266,138.774,137.431,144.413
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",37,"481","   Air transportation",35.896,30.415,51.998,75.525,84.162,84.584,126.802,117.718,100.000,131.264,96.286,195.350,331.773,325.951,289.665,271.962,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",38,"482","   Rail transportation",126.139,126.057,156.302,146.831,151.260,163.768,141.227,139.622,100.000,105.342,124.180,77.737,88.616,87.594,80.894,77.888,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",39,"483","   Water transportation",184.368,98.938,108.044,141.587,76.316,70.945,128.008,137.859,100.000,51.490,22.315,64.531,96.573,70.685,9.661,0.000,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",40,"484","   Truck transportation",90.974,92.787,92.690,104.174,107.287,115.275,111.738,109.463,100.000,110.856,124.895,132.517,127.738,141.043,145.993,142.855,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",41,"485","   Transit and ground passenger transportation",81.796,76.915,77.339,86.574,95.800,93.353,101.226,103.732,100.000,98.249,108.649,114.768,112.416,127.535,130.046,117.392,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",42,"486","   Pipeline transportation",0.000,0.000,0.000,0.000,111.347,4698.718,5832.495,6318.949,100.000,108.970,78.651,66.182,75.630,278.202,177.233,149.416,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",44,"493","   Warehousing and storage",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",45,"51","  Information",52.330,56.623,68.542,78.940,83.243,79.465,91.337,93.727,100.000,100.234,101.751,100.302,89.201,81.361,84.833,85.108,82.279
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",46,"511","   Publishing industries (except Internet)",(D),56.032,68.657,79.285,(D),91.930,110.008,110.832,100.000,100.967,110.461,111.820,106.213,94.705,107.652,114.836,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",47,"512","   Motion picture and sound recording industries",45.371,51.183,65.958,66.322,35.846,35.230,53.647,55.501,100.000,87.268,87.170,105.322,83.666,63.821,61.207,56.241,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",48,"515, 517","   Broadcasting (except Internet) and telecommunications",63.004,62.312,74.961,87.706,94.576,84.532,93.965,90.959,100.000,105.961,105.257,101.322,89.750,83.856,82.959,82.488,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",49,"518, 519","   Data processing, hosting, and other information services",(D),27.178,29.807,34.057,(D),60.074,64.754,106.251,100.000,76.459,70.784,53.719,41.728,46.841,57.236,47.299,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",102.239,104.760,105.508,110.737,114.482,91.656,89.955,84.857,100.000,86.781,95.174,98.946,99.472,108.152,112.548,124.274,124.681
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",51,"52","   Finance and insurance",76.438,85.511,86.053,84.670,94.995,99.092,97.483,83.596,100.000,90.608,93.447,93.404,85.410,93.472,104.143,103.006,99.209
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",53,"523","    Securities, commodity contracts, and other financial investments and related activities",(D),(D),(D),(D),(D),(D),(D),63.513,100.000,102.843,93.337,83.763,89.818,87.756,(D),(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",54,"524","    Insurance carriers and related activities",73.320,79.253,78.974,84.928,100.601,104.582,109.218,103.802,100.000,92.437,91.543,89.276,84.946,104.074,109.690,125.648,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",55,"525","    Funds, trusts, and other financial vehicles",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",56,"53","   Real estate and rental and leasing",110.362,110.836,111.648,118.953,120.628,89.382,87.651,85.229,100.000,85.705,95.706,100.602,103.697,112.559,114.965,130.863,132.666
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",57,"531","    Real estate",99.165,98.238,103.162,114.073,116.926,83.304,82.756,81.306,100.000,83.397,91.138,95.006,104.499,113.362,112.468,126.019,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets",244.846,262.315,212.632,175.887,163.263,161.295,145.336,131.243,100.000,112.428,148.568,165.412,93.114,101.872,145.337,191.808,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",59,"54, 55, 56","  Professional and business services",90.769,93.376,113.694,106.677,105.718,108.322,107.613,107.665,100.000,101.090,94.284,98.814,102.221,104.091,107.090,108.935,114.121
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",60,"54","   Professional, scientific, and technical services",114.286,115.204,107.262,100.420,97.156,104.309,105.134,114.351,100.000,95.589,101.858,106.337,107.751,109.942,118.832,126.276,131.209
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",64,"55","   Management of companies and enterprises",63.554,84.463,176.441,147.643,127.209,127.007,120.810,107.135,100.000,113.191,89.035,96.188,98.159,95.946,98.042,94.144,84.466
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",65,"56","   Administrative and support and waste management and remediation services",76.578,71.552,82.356,87.292,100.260,99.808,101.121,100.890,100.000,98.438,89.677,92.395,99.041,103.373,100.504,100.059,114.932
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",66,"561","    Administrative and support services",80.550,73.754,86.046,92.301,102.584,102.795,102.691,102.919,100.000,97.217,89.880,93.866,102.389,107.474,106.021,105.776,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",67,"562","    Waste management and remediation services",55.651,60.089,63.175,61.343,88.251,84.309,92.959,90.480,100.000,104.543,88.831,85.414,83.048,83.820,74.361,73.009,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",68,"61, 62","  Educational services, health care, and social assistance",76.772,79.885,84.651,88.994,90.043,93.997,94.921,100.405,100.000,99.898,99.016,102.246,102.733,106.991,116.612,121.470,128.497
