GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",89.681,90.729,91.380,92.702,94.818,100.704,98.347,101.841,100.000,98.233,96.415,96.193,97.335,102.235,109.127,116.823,119.051
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",86.459,87.880,88.904,90.917,94.988,103.571,100.050,102.998,100.000,98.038,95.468,96.052,97.801,103.476,111.870,120.876,123.489
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",86.739,92.390,98.237,86.219,98.669,137.496,105.613,93.011,100.000,(D),(D),(D),(D),(D),(D),(D),(D)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",89.148,88.106,94.952,85.242,103.075,141.413,96.173,82.677,100.000,89.407,65.477,61.142,65.557,71.038,86.322,110.522,(NA)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",81.865,102.847,106.377,88.195,86.100,125.195,127.583,118.709,100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",103.164,105.649,119.575,139.191,151.236,153.522,150.143,114.197,100.000,(D),(D),(D),(D),(D),(D),(D),(D)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",4.099,3.212,3.467,0.000,0.000,1.221,24.218,11.078,100.000,(D),(D),10.079,7.601,24.575,28.491,40.965,(NA)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",122.963,112.156,112.444,113.704,122.180,131.828,139.282,124.104,100.000,96.381,88.351,88.059,94.792,103.298,118.422,126.625,130.969
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",69.435,78.937,81.187,99.861,95.232,110.155,105.092,101.274,100.000,102.534,103.061,92.374,92.010,89.530,96.226,103.454,107.338
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",126.858,131.517,127.835,140.771,160.598,157.625,173.319,152.727,100.000,87.576,97.616,99.998,100.128,94.514,100.853,111.309,(NA)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",137.601,155.443,125.316,(D),(D),(D),156.199,140.541,100.000,(D),148.913,(D),(D),(D),(D),(D),(NA)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",144.365,124.915,143.993,147.710,147.261,132.737,140.412,137.807,100.000,87.396,92.622,101.177,93.149,102.051,105.094,130.656,(NA)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",83.363,97.724,83.717,114.490,136.904,147.021,166.217,152.151,100.000,123.435,117.964,115.646,170.058,168.182,154.016,142.884,(NA)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),176.069,(D),(D),(D),679.209,895.041,816.680,100.000,143.313,200.784,145.446,309.123,180.535,264.199,292.948,(NA)
 "41420" ,"Salem, OR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
