GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "29540" ,"Lancaster, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",99.166,101.753,101.496,102.942,105.586,105.660,103.567,103.113,100.000,104.468,105.800,108.365,109.566,113.561,121.061,120.897,123.112
 "29540" ,"Lancaster, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",99.735,102.425,101.981,103.424,106.241,106.306,103.972,103.386,100.000,104.806,106.530,109.510,110.870,115.315,123.586,123.349,125.777
 "29540" ,"Lancaster, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",107.411,81.872,97.122,116.245,141.850,136.636,137.169,111.897,100.000,150.614,127.578,106.888,130.154,167.392,183.114,106.131,95.339
 "29540" ,"Lancaster, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",108.030,78.598,95.435,116.851,147.274,139.391,142.195,113.216,100.000,156.796,132.069,107.563,129.498,169.654,185.888,90.956,(NA)
 "29540" ,"Lancaster, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",106.490,102.645,108.844,112.425,105.660,116.316,101.706,103.691,100.000,115.109,102.618,110.580,146.407,164.979,178.601,188.642,(NA)
 "29540" ,"Lancaster, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",100.114,93.325,109.713,100.152,89.847,84.546,93.868,94.928,100.000,106.227,71.948,63.195,74.343,85.938,101.364,99.605,135.245
 "29540" ,"Lancaster, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",2238.525,3559.573,7984.953,13932.941,11095.150,5617.611,0.000,10963.107,100.000,26603.727,54741.752,8859.858,57088.155,48856.658,60470.275,24381.474,(NA)
 "29540" ,"Lancaster, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29540" ,"Lancaster, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29540" ,"Lancaster, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",233.839,238.611,106.637,101.135,92.196,115.316,106.323,97.991,100.000,91.704,90.609,91.713,93.805,94.618,205.516,188.935,192.351
 "29540" ,"Lancaster, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",122.260,123.251,128.123,137.595,133.504,123.920,112.328,108.976,100.000,98.942,99.810,105.996,114.522,119.841,126.178,128.705,136.604
 "29540" ,"Lancaster, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",112.410,116.153,116.922,110.355,112.022,111.139,110.475,104.622,100.000,99.739,97.912,98.224,99.466,102.639,107.685,107.999,107.552
