GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",73.803,75.004,74.064,78.893,84.113,88.831,90.674,101.814,100.000,105.731,115.534,118.914,128.023,132.758,144.311,143.440,142.908
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",72.142,73.188,72.116,77.452,82.949,88.180,90.243,102.178,100.000,106.022,116.897,120.270,130.183,135.347,147.572,146.243,145.537
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",132.903,164.626,132.035,116.822,130.304,145.252,94.965,65.102,100.000,90.372,63.785,81.034,77.813,68.553,90.951,121.308,102.696
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",125.534,165.767,124.323,107.284,121.500,132.138,77.787,51.678,100.000,93.046,61.918,82.205,80.682,66.421,94.993,134.728,(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",157.810,157.919,159.032,152.485,162.200,193.199,161.568,118.504,100.000,80.576,73.323,75.140,63.302,78.083,76.103,75.543,(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",74.953,74.880,51.531,48.301,60.657,73.548,74.925,102.753,100.000,110.917,144.015,155.947,190.784,210.853,265.800,246.928,239.053
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",72.662,79.029,(D),(D),58.290,68.590,70.006,98.235,100.000,109.192,142.377,152.477,190.893,211.059,278.869,(D),(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",82.597,(D),(D),(D),11.226,49.968,53.538,54.533,100.000,112.151,127.066,113.388,120.710,157.343,224.423,(D),(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",97.325,(D),35.722,112.292,104.350,156.568,157.142,177.355,100.000,133.647,166.855,211.579,196.875,212.786,137.170,95.226,(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",77.033,71.941,75.427,86.876,87.663,90.322,76.167,92.058,100.000,107.413,99.669,103.643,116.573,132.288,118.396,131.416,135.716
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",89.918,92.013,99.973,105.221,103.287,100.386,97.583,99.275,100.000,103.463,99.983,93.389,90.725,86.151,96.664,100.620,100.005
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",98.315,90.449,89.036,123.525,111.959,112.866,129.229,133.109,100.000,105.250,110.249,110.366,119.087,100.475,98.898,101.395,89.817
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",92.799,83.642,82.802,121.957,118.971,128.976,133.722,142.757,100.000,109.620,109.378,102.003,91.082,90.400,95.482,95.056,65.068
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",79.797,85.758,92.728,70.659,68.350,63.620,74.482,87.252,100.000,76.713,84.084,85.050,82.932,65.949,46.738,59.809,(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",105.732,127.531,124.486,124.494,129.063,112.602,116.452,140.000,100.000,90.072,79.623,92.481,125.999,137.911,113.879,108.045,(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",99.329,88.898,92.407,106.005,105.807,109.239,127.008,129.090,100.000,110.145,137.306,153.216,145.006,159.623,116.468,110.834,(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",76.165,60.639,63.652,107.396,116.053,132.728,144.974,155.578,100.000,116.844,111.570,96.838,78.419,76.287,89.522,88.947,(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",(D),(D),1318.622,1151.094,1005.092,1091.816,(D),1257.945,100.000,(D),0.000,(D),(D),(D),(D),(D),(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "46340" ,"Tyler, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",92.632,119.426,119.242,114.995,127.541,158.139,131.368,108.289,100.000,120.464,113.896,77.443,73.353,66.682,76.720,95.193,(NA)
