GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",70.013,75.907,80.591,83.813,101.928,90.765,91.083,91.296,100.000,103.751,92.889,91.167,95.795,90.429,96.301,100.555,104.819
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",68.901,75.095,79.817,83.433,103.462,90.525,90.675,90.291,100.000,104.079,91.864,89.551,94.738,88.603,95.410,99.782,104.367
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",125.336,116.537,130.655,126.670,146.336,137.661,127.374,102.787,100.000,136.160,146.956,134.956,115.902,142.595,(D),(D),(D)
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",163.100,150.169,168.975,159.115,194.541,159.627,144.732,99.817,100.000,136.454,155.138,127.139,128.679,179.048,163.870,196.874,(NA)
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",71.564,68.385,75.886,80.529,77.329,102.670,99.640,106.823,100.000,135.794,134.775,150.321,95.399,83.526,(D),(D),(NA)
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",70.908,(D),100.961,96.511,151.260,198.789,179.974,109.718,100.000,76.853,44.777,35.977,30.832,40.228,(D),(D),(D)
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),101.151,96.776,151.596,198.404,180.221,109.052,100.000,76.714,(D),(D),(D),(D),(D),(D),(NA)
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),0.000,33.664,0.000,43.815,510.788,140.329,570.631,100.000,183.361,(D),(D),(D),(D),(D),1922.790,(NA)
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",63.469,(D),58.869,47.057,50.755,55.761,69.415,73.466,100.000,79.035,72.395,71.095,59.251,58.792,57.929,80.523,83.709
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",98.419,97.767,102.319,110.774,119.213,115.118,106.557,111.072,100.000,89.486,91.455,91.927,89.094,84.294,93.769,95.356,108.192
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",49.042,74.612,74.323,70.830,123.439,81.954,87.564,81.694,100.000,108.959,71.489,70.146,75.531,67.311,78.804,86.542,84.278
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",73.767,67.386,75.368,77.078,85.692,92.359,105.759,100.203,100.000,100.499,114.552,126.714,123.009,122.156,127.177,128.718,128.374
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",86.344,78.921,95.063,95.915,109.762,103.090,119.442,112.075,100.000,120.769,134.438,137.642,139.336,150.608,151.429,139.178,(NA)
 "13380" ,"Bellingham, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",69.789,73.949,84.799,84.619,97.821,106.660,120.494,117.792,100.000,84.089,87.469,106.742,116.602,112.312,125.755,128.849,(NA)
