GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",81.362,85.144,88.104,88.742,91.644,93.198,93.771,97.077,100.000,103.980,105.058,103.575,101.198,103.930,105.495,110.403,110.965
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",79.861,84.239,87.466,88.272,91.187,92.700,93.471,96.437,100.000,105.082,106.752,104.622,102.253,105.538,107.617,113.178,113.392
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",63.360,74.204,78.676,79.060,83.967,94.950,85.513,88.878,100.000,103.520,103.899,106.543,97.493,116.402,122.459,147.939,129.333
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",61.806,73.136,77.455,80.640,85.674,92.765,83.426,89.327,100.000,106.160,102.359,101.526,90.249,109.933,119.434,153.670,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",71.314,81.012,86.199,75.520,80.097,104.661,95.448,87.254,100.000,94.706,111.788,130.560,131.745,147.781,141.663,143.454,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",17.258,22.418,22.468,19.360,26.313,40.832,58.420,97.765,100.000,87.870,52.586,64.240,54.199,65.784,60.911,55.542,44.691
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",73.283,82.003,71.650,66.747,72.887,72.346,84.112,88.328,100.000,105.379,95.533,84.108,80.575,79.227,77.217,84.845,87.095
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",85.986,79.025,81.254,89.782,87.196,88.961,94.212,102.246,100.000,102.312,93.342,90.262,84.201,87.167,90.298,105.394,101.712
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",108.929,108.917,108.750,110.735,126.609,113.762,118.435,103.050,100.000,100.583,108.382,104.229,111.018,101.324,101.986,102.808,108.056
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),100.000,125.370,167.965,172.770,182.373,148.162,139.407,134.828,139.348
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",304.986,250.163,247.713,239.494,226.893,157.437,132.885,128.408,100.000,116.834,113.624,130.167,132.961,138.127,132.035,113.837,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",147.275,152.328,122.964,140.217,148.031,135.035,140.043,116.618,100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",112.413,113.160,121.087,125.025,136.440,152.572,161.132,143.874,100.000,125.015,141.305,135.423,166.200,165.635,133.828,136.870,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",55.924,47.878,56.851,59.584,67.174,78.186,101.800,102.248,100.000,94.196,89.634,90.570,65.076,71.658,63.593,63.235,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),0.000,(D),(D),(D),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",96.445,87.105,89.949,90.508,104.578,105.023,114.533,119.099,100.000,94.789,75.695,54.631,59.442,46.012,47.870,42.865,(NA)
