GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "27500" ,"Janesville-Beloit, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",101.673,111.047,115.191,115.170,113.001,121.242,116.983,109.784,100.000,101.997,106.014,107.015,112.477,108.719,112.274,115.751,118.853
 "27500" ,"Janesville-Beloit, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",103.529,114.102,118.820,118.771,116.293,125.811,120.830,111.851,100.000,102.343,107.223,108.121,115.269,111.058,115.596,119.821,123.348
 "27500" ,"Janesville-Beloit, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",89.944,73.597,91.209,110.849,101.729,110.003,94.420,60.565,100.000,97.898,122.132,57.875,129.552,70.595,100.066,144.440,130.805
 "27500" ,"Janesville-Beloit, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",86.090,69.407,87.629,108.802,99.610,107.149,92.590,58.562,100.000,98.700,123.576,57.402,131.771,69.745,98.837,144.358,(NA)
 "27500" ,"Janesville-Beloit, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",183.191,172.873,177.577,155.262,148.747,173.654,138.240,108.704,100.000,80.095,88.152,77.452,72.501,99.266,141.315,170.848,(NA)
 "27500" ,"Janesville-Beloit, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",91.631,108.080,111.494,118.283,101.975,105.450,101.311,90.607,100.000,101.961,74.106,68.381,95.597,167.836,240.264,226.221,187.541
 "27500" ,"Janesville-Beloit, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",133.005,246.562,0.000,274.155,450.510,1081.020,126.914,496.404,100.000,46.229,2.067,0.000,1.621,3.238,163.526,615.162,(NA)
 "27500" ,"Janesville-Beloit, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",91.646,(D),111.611,118.288,101.869,105.054,101.354,90.438,100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "27500" ,"Janesville-Beloit, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",0.000,(D),0.000,0.000,0.000,0.000,0.000,0.000,0.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "27500" ,"Janesville-Beloit, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",(D),(D),(D),160.436,148.517,125.930,112.145,100.324,100.000,93.540,95.196,87.116,(D),(D),(D),(D),(D)
