GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",58.787,61.324,63.849,68.191,75.039,91.475,94.771,115.918,100.000,95.325,96.386,100.831,100.743,106.612,100.592,88.290,93.993
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",57.219,59.820,62.290,67.041,74.406,91.720,94.636,117.164,100.000,94.931,96.180,100.777,100.586,106.889,100.528,87.190,93.585
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",46.805,42.936,44.338,52.305,65.701,96.293,95.916,132.939,100.000,79.693,70.688,65.981,61.206,65.042,53.216,32.986,40.368
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",43.363,44.544,41.791,45.081,(D),(D),87.074,132.328,100.000,63.120,47.018,42.366,42.783,47.314,51.538,37.255,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",0.000,8.274,14.420,46.831,(D),(D),86.533,68.725,100.000,160.051,174.365,163.619,112.596,82.342,58.147,41.727,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",85.514,60.156,74.906,97.802,111.968,167.207,155.690,165.759,100.000,111.066,128.600,127.532,121.770,138.819,73.827,30.768,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",90.544,94.643,101.521,96.057,97.085,95.944,81.930,89.475,100.000,142.586,168.150,185.090,169.397,171.078,140.746,124.468,107.081
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",84.257,76.014,94.869,106.744,102.256,106.784,125.418,158.954,100.000,102.684,112.761,115.759,100.859,105.342,123.303,99.441,94.666
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",60.880,57.849,57.754,73.912,82.765,91.716,104.190,130.034,100.000,106.163,134.892,137.572,108.199,124.482,113.569,80.863,(D)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",81.360,86.141,70.631,185.853,159.151,96.420,101.785,108.596,100.000,93.720,115.725,133.827,119.446,107.995,289.558,204.870,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",121.379,115.587,107.923,80.198,72.900,50.813,67.980,86.664,100.000,112.020,101.998,168.971,157.784,105.661,118.966,123.643,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",47.827,36.778,44.275,72.101,78.383,81.727,109.752,121.338,100.000,93.796,104.065,112.299,82.581,95.124,70.283,47.229,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",71.751,73.254,23.187,34.359,49.675,74.160,93.296,128.509,100.000,107.481,144.948,160.637,176.265,192.446,179.539,122.408,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),0.000,(D),(D),(D),0.000,0.000,0.000,0.000,0.000,0.000,(D),(D),(D),(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
