GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",47869.7,49730.3,50494.1,52354.4,53180.3,53027.3,54060.5,53654.3,50637.3,51483.8,52390.9,54518.0,53891.6,53797.4,54904.9,55169.9,55927.1
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",42129.0,43854.0,44466.9,46276.1,47064.2,46955.5,47832.4,47405.5,44329.2,45305.3,46293.7,48512.0,48012.2,47915.9,48948.1,49147.3,49901.5
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),161.6,155.1,176.3,137.8,127.8
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",119.6,96.9,131.9,128.4,122.0,75.8,47.2,51.2,83.8,78.0,19.4,32.0,83.7,78.5,96.8,61.9,(NA)
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),64.1,64.0,64.1,62.9,(NA)
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),913.0,886.1,1028.6,725.1,983.9
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),38.4,15.7,84.8,(D),(NA)
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),856.4,843.3,948.1,644.5,(NA)
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26.9,41.7,15.1,(D),(NA)
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2982.2,(D),2853.1,3058.7,2943.1
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",3406.6,3308.8,3377.0,3430.0,3339.7,3180.8,3193.5,2927.7,2513.0,2448.1,2465.7,2696.1,2480.1,2270.7,2215.1,2257.9,2218.0
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",3510.3,3582.7,(D),(D),(D),(D),4296.5,4848.7,3977.6,3820.2,4587.3,4863.7,5137.9,4875.4,4739.3,4741.3,4690.0
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3420.5,3408.4,3352.1
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",70.0,(D),(D),(D),94.9,103.8,87.2,67.3,(D),(D),100.2,84.3,(D),78.3,78.8,80.5,(NA)
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),258.9,340.8,330.7,(D),(D),(D),(D),(D),(D),(D),269.1,287.1,289.7,279.2,(NA)
 "13820" ,"Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1300.3,1238.6,1231.0,1201.6,(NA)
