GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",14998.9,15861.6,16703.8,17760.3,18449.4,19147.5,19762.2,20075.2,20316.4,21179.9,21406.5,21479.5,21309.4,21637.3,21899.9,22262.6,22677.5
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",10966.3,11461.2,12214.5,13289.3,13945.2,14542.8,14916.6,15150.6,15052.8,15704.8,15638.6,15771.1,15696.0,16002.3,16258.7,16612.0,17121.0
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),52.8,31.2,12.8,15.0
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",29.9,7.9,73.3,84.2,75.8,85.9,44.5,69.9,66.0,12.0,46.3,47.8,69.7,42.5,22.5,4.2,(NA)
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8.6,8.1,8.1,(NA)
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),23.4,30.8,44.9,54.1
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.7,0.9,0.5,0.0,0.0,(L),1.6,2.7,0.0,0.4,0.7,0.8,5.1,7.1,6.4,3.2,(NA)
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
