GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",14819.4,15252.8,15749.5,16298.9,17251.9,17753.4,17804.8,17927.2,17116.4,16928.4,16624.1,16685.2,17148.5,16944.1,17490.0,17872.1,18296.6
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",12944.6,13369.9,13821.3,14328.4,15398.7,15845.3,15714.3,15875.2,15053.3,14857.0,14639.3,14676.0,15187.2,15072.0,15665.8,15978.5,16386.4
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",289.1,341.8,(D),(D),(D),468.3,321.5,295.9,367.1,390.6,332.7,277.3,255.9,249.4,277.0,280.7,243.6
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",158.3,201.1,167.6,138.1,218.1,263.2,129.9,121.2,188.6,212.5,168.7,125.0,107.0,101.5,122.1,124.1,(NA)
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",127.8,136.4,(D),(D),(D),199.3,196.6,179.1,178.5,177.6,166.7,161.6,161.3,161.0,168.0,170.0,(NA)
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",617.9,602.1,(D),(D),(D),170.8,279.5,692.8,519.4,419.2,481.7,556.4,9.2,414.4,333.0,299.8,225.3
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),0.0,(L),(L),(L),0.0,0.0,(L),0.3,0.5,0.1,(L),(L),(D),(D),(D),(NA)
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",614.6,(D),(D),(D),(D),(D),279.9,689.3,513.7,410.3,(D),(D),(D),(D),(D),(D),(NA)
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),0.2,4.0,5.5,8.7,(D),(D),(D),8.3,7.0,5.9,(NA)
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",232.0,266.4,270.8,371.9,329.0,355.8,364.2,353.2,337.9,306.1,272.5,255.2,276.4,317.1,315.2,334.7,322.4
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",1214.2,1220.0,1197.6,1196.1,1369.4,1127.2,1106.1,926.1,893.5,684.4,621.9,739.0,726.2,770.2,845.0,862.8,862.5
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1637.2,1657.6,1719.5,1883.7,1904.6,1992.4,1984.1,1891.0,1752.7,1860.5,1954.2,1900.1,2184.4,2100.7,2342.9,2432.8,2425.0
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",502.6,476.6,500.3,483.1,567.4,600.3,566.8,440.7,361.0,346.3,375.3,380.4,477.5,569.2,570.5,671.8,677.2
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",75.4,66.1,64.4,59.1,79.9,87.5,76.2,58.2,50.2,43.7,62.2,49.3,80.2,69.2,65.4,73.6,(NA)
