GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",8018.9,8792.5,9698.2,10258.6,10688.9,11231.4,11551.5,9981.8,7566.2,9898.5,9829.2,10764.0,11423.2,12290.8,12899.7,13656.4,15199.6
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",7521.3,8285.8,9176.2,9728.1,10156.0,10608.6,11018.1,9436.7,7019.0,9372.3,9313.4,10256.8,10935.2,11786.8,12396.7,13151.5,14704.8
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),73.0,60.8,64.1,59.4,55.8,(D),69.2,75.7,78.1,88.3,(D),(D),(D),81.4
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",35.2,59.3,61.0,59.5,47.8,50.3,47.1,44.3,18.8,58.4,65.7,66.9,77.0,121.4,163.9,74.2,(NA)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),11.6,11.8,12.6,11.0,10.4,(D),10.1,8.9,10.4,9.8,(D),(D),(D),(NA)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),9.0,8.1,8.1,8.2,7.6,(D),6.9,9.0,11.4,9.6,(D),(D),(D),31.7
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),(L),(L),(L),0.1,0.0,(D),(D),(D),(D),(D),6.8,1.0,(NA)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",62.4,59.0,54.3,56.1,56.7,55.7,(D),53.7,(D),58.9,61.3,59.1,65.1,64.9,56.5,63.8,(D)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",424.3,394.8,409.5,461.2,421.7,383.8,351.1,339.7,289.5,274.2,273.3,289.5,242.6,244.2,259.1,248.6,320.6
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",3590.3,4280.5,4941.2,5253.5,5566.8,5962.3,6480.6,5026.0,3086.3,5408.3,5265.8,5949.4,6475.2,7060.1,7465.4,8119.2,9296.6
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",2632.4,3228.6,3927.6,4187.4,4575.8,4971.3,5255.6,3899.6,2020.7,4392.9,4633.5,5020.6,5481.6,5935.7,6419.4,6999.3,8160.4
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",271.8,260.2,258.8,236.1,295.6,250.5,243.2,208.3,167.5,125.0,136.5,139.9,106.4,117.9,140.4,160.7,(NA)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",51.5,55.6,62.0,57.5,59.7,52.6,49.9,35.1,30.8,31.1,35.6,41.9,53.7,60.2,60.5,60.2,(NA)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",77.8,100.7,83.8,85.8,57.5,34.6,58.8,68.3,17.4,43.9,66.0,68.8,64.3,85.9,186.5,162.5,(NA)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",516.7,552.4,631.3,675.2,666.9,642.1,641.1,509.9,338.2,434.5,478.6,560.1,614.3,673.3,744.2,793.7,(NA)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",119.7,99.6,90.8,124.6,134.6,132.0,143.1,137.2,105.0,117.8,115.7,124.6,151.1,156.0,147.8,150.5,(NA)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",47.5,58.0,64.2,79.1,115.9,123.3,118.6,102.5,107.2,101.8,83.8,116.5,127.1,125.5,129.1,137.4,(NA)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",23.4,25.4,29.1,27.4,27.8,33.3,29.2,23.3,10.9,12.2,16.9,18.6,22.2,(D),(D),(D),(NA)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),2635.6,(D),(D),(D),(D),3096.2,3234.3,3487.4,(D),(D),(D),(D),(NA)
 "21140" ,"Elkhart-Goshen, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),147.6,(D),(D),(D),(D),99.0,120.2,136.7,(D),164.5,181.1,195.7,(NA)
