GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3845.3,3933.5,3994.4,4127.4,4311.2,4770.9,4908.1,4837.5,4932.1,4925.6,4886.6,4981.6,4960.2,5022.5,5157.0,5260.4,5334.4
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3004.1,3092.4,3148.1,3260.2,3422.9,3872.7,3988.7,3894.0,3984.0,3985.7,3963.5,4066.1,4053.9,4123.8,4249.4,4361.5,4449.0
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),36.8,(D),53.1,64.0,(D),(D),(D),(D),(D),22.7,45.3,39.5,45.8,36.1,32.8
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",17.3,22.3,17.8,29.1,28.7,31.8,19.2,15.6,20.4,16.6,6.0,5.8,24.9,19.5,23.0,17.2,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),18.9,(D),23.5,31.3,(D),(D),(D),(D),(D),18.1,16.9,17.8,20.2,16.8,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),11.5,(D),6.0,14.3,(D),(D),(D),(D),(D),41.3,35.7,47.0,47.4,46.1,57.8
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2.2,2.4,2.4,2.9,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),3.4,(D),(D),(D),(D),(D),(D),(D),(D),17.8,(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),67.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",219.2,205.1,211.3,223.5,224.5,285.6,289.8,257.5,237.5,231.4,216.1,206.3,190.9,190.0,205.1,220.0,211.8
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",385.4,390.4,462.1,447.2,399.7,468.3,502.7,438.2,430.6,469.0,451.6,506.9,499.0,454.2,452.8,430.5,445.0
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),166.2
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",28.4,26.1,31.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),31.4,29.6,(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),22.8,(D),23.6,21.0,17.9,16.6,18.9,16.6,16.2,19.2,(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),13.3,(D),(D),(D),(D),11.0,12.0,13.6,10.2,10.7,9.3,7.6,5.3,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),69.5,52.4,60.6,63.3,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),0.0,(L),0.0,0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),20.8,22.4,25.7,(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(L),0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),0.1,0.1,(L),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.7,(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),6.5,(D),(D),(D),8.7,7.9,12.7,9.0,11.0,7.8,(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),276.7
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",28.8,(D),34.5,32.7,28.3,(D),(D),46.7,(D),(D),(D),(D),(D),(D),80.1,75.6,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(L),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),84.9,83.8,89.2,85.7,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),6.1,5.9,6.7,6.8,7.8,9.1,7.7,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),69.9,56.0,45.9,44.3,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),35.6,43.7,44.1,38.1,36.2,34.8,40.2,30.7,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",365.0,384.2,418.4,432.8,517.7,609.7,611.3,569.8,593.1,568.9,549.1,544.5,566.3,609.1,603.4,623.2,622.4
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",36,"48-49","  Transportation and warehousing",(D),(D),(D),130.6,133.3,127.5,133.2,144.4,140.6,140.2,143.0,141.6,140.0,133.5,133.2,136.1,137.0
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",37,"481","   Air transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.3,(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",38,"482","   Rail transportation",18.0,15.8,18.2,19.4,20.1,18.8,18.6,17.0,18.4,19.2,21.0,16.5,19.2,20.8,19.4,18.6,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",39,"483","   Water transportation",0.5,0.0,0.2,0.1,0.0,0.1,0.7,1.3,1.4,0.9,(D),(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",40,"484","   Truck transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),43.4,48.7,(D),(D),37.5,36.6,40.8,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",41,"485","   Transit and ground passenger transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",42,"486","   Pipeline transportation",(D),(D),(D),(D),(D),(D),(D),37.2,32.1,31.6,27.1,29.2,(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",43,"487-488, 492","   Other transportation and support activities",15.2,(D),(D),(D),15.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
