GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "27140" ,"Jackson, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",20788.8,21029.1,21772.1,22525.6,22704.0,23419.5,23998.9,24194.2,23676.1,24195.0,24367.2,25090.5,25300.0,25664.7,25896.7,26140.3,26267.7
 "27140" ,"Jackson, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",17131.0,17422.7,18059.7,18774.2,18948.3,19669.0,20121.7,20157.8,19551.9,20115.2,20304.0,21020.0,21237.2,21596.8,21819.7,22045.6,22243.8
 "27140" ,"Jackson, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),241.2,230.3
 "27140" ,"Jackson, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",106.9,86.7,130.7,183.6,182.8,114.6,99.9,121.1,171.8,176.5,79.8,110.3,165.4,168.9,180.2,171.9,(NA)
 "27140" ,"Jackson, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),65.3,(NA)
 "27140" ,"Jackson, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),506.0,401.6
 "27140" ,"Jackson, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),587.7,(D),400.9,(NA)
 "27140" ,"Jackson, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),25.2,(D),(D),39.2,(NA)
 "27140" ,"Jackson, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),50.4,48.1,80.0,55.1,(NA)
 "27140" ,"Jackson, MS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),484.9,545.5,500.5,531.5,530.3,557.6,505.3,553.5,502.2,(D),(D),(D),(D),445.7,(D)
