GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3915.7,3889.7,4031.1,4208.1,4477.7,4513.8,4425.1,4338.4,4361.0,4491.1,4398.8,4407.3,4384.3,4349.1,4351.9,4348.9,4300.8
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2137.1,2204.2,2293.2,2415.1,2671.8,2741.2,2633.4,2467.0,2387.5,2494.0,2424.1,2469.3,2528.1,2504.5,2500.2,2516.8,2480.3
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",118.7,(D),(D),(D),126.8,112.8,65.8,(D),(D),(D),(D),(D),(D),(D),50.0,66.1,63.3
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",91.1,42.1,41.2,68.5,98.3,86.0,43.7,50.0,66.1,71.4,60.8,65.4,68.3,53.0,25.8,43.8,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",32.6,(D),(D),(D),29.2,27.5,23.8,(D),(D),(D),(D),(D),(D),(D),26.4,25.9,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1.9,(D),(D),(D),(L),(L),0.1,(D),(D),(D),(D),(D),(D),(D),10.5,(D),8.6
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.1,(L),0.0,0.0,0.0,0.0,(L),0.0,(L),(L),(L),(L),0.1,0.1,0.3,0.3,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",1.8,(D),(D),(D),0.0,(L),0.1,(D),(D),(D),7.1,6.5,(D),(D),10.2,(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),0.1,(L),(L),(L),0.0,0.0,0.0,0.0,(D),(D),(D),(D),(D),0.1,0.1,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),54.2,57.4,63.0
