GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24020" ,"Glens Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3601.4,3812.5,3906.3,4116.1,4208.0,4196.8,4062.6,4149.0,4233.9,4390.4,4341.8,4381.6,4309.3,4358.3,4373.6,4414.8,4437.2
 "24020" ,"Glens Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2855.2,3074.4,3154.2,3352.0,3402.7,3405.8,3281.2,3349.9,3443.9,3594.0,3565.1,3598.6,3534.6,3585.7,3628.5,3688.3,3711.7
 "24020" ,"Glens Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),57.0,71.9,58.1,63.7,61.2
 "24020" ,"Glens Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",41.6,31.1,32.4,39.5,46.6,33.8,24.5,25.0,23.4,42.3,48.9,39.0,48.6,63.0,49.5,54.5,(NA)
 "24020" ,"Glens Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7.4,7.0,7.3,7.8,(NA)
 "24020" ,"Glens Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),27.4,26.1,30.2,31.1,24.1
 "24020" ,"Glens Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),(L),0.1,0.1,0.1,(L),(L),(L),0.1,0.2,0.2,0.3,0.5,1.0,0.6,(NA)
 "24020" ,"Glens Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),27.1,25.5,28.9,30.1,(NA)
 "24020" ,"Glens Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),0.1,(L),(L),(L),0.1,0.2,(NA)
 "24020" ,"Glens Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),96.8,94.0,94.6,93.4
 "24020" ,"Glens Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",244.4,248.0,266.8,280.8,285.1,279.6,262.5,262.0,274.9,278.9,258.0,291.9,281.8,252.3,240.3,235.0,253.2
 "24020" ,"Glens Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",523.5,571.7,575.8,623.6,619.4,631.6,608.1,627.4,675.0,725.0,679.3,673.4,651.2,682.4,646.3,646.5,628.8
 "24020" ,"Glens Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",291.7,311.6,317.3,369.5,370.0,366.7,379.9,399.6,392.7,449.8,419.6,410.9,414.8,406.7,389.4,354.7,350.7
