GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "27060" ,"Ithaca, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3722.3,3847.9,4010.1,4059.7,4075.2,4080.5,4089.2,4240.1,4281.9,4346.2,4311.2,4415.3,4398.1,4347.5,4332.2,4326.2,4390.9
 "27060" ,"Ithaca, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3253.0,3374.6,3527.6,3576.6,3594.6,3591.5,3589.1,3732.8,3766.9,3823.6,3798.6,3905.7,3879.4,3847.7,3855.4,3844.5,3910.2
 "27060" ,"Ithaca, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",55.7,43.0,42.1,42.8,44.1,42.3,43.9,45.1,41.6,46.9,45.1,39.0,40.0,46.4,41.6,42.7,(D)
 "27060" ,"Ithaca, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",30.5,19.4,19.9,21.8,23.8,19.7,22.4,21.6,17.4,24.2,22.8,17.5,19.5,24.5,18.6,20.8,(NA)
 "27060" ,"Ithaca, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",25.0,23.7,22.1,20.6,19.6,22.1,20.5,23.0,24.3,22.5,22.2,22.4,20.8,21.5,23.1,22.1,(NA)
 "27060" ,"Ithaca, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",19.6,16.3,22.1,23.2,33.2,35.5,33.3,29.9,30.7,48.7,44.0,45.1,43.4,49.3,53.1,53.4,(D)
 "27060" ,"Ithaca, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),0.1,0.1,0.1,0.2,0.5,2.2,4.7,4.4,2.6,2.5,4.1,3.5,(NA)
 "27060" ,"Ithaca, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27060" ,"Ithaca, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27060" ,"Ithaca, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),126.3,(D),120.9,123.8,121.0,108.9,(D),(D),87.3,95.2,86.8,85.6,81.0,76.3
