GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "49660" ,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",19767.5,20172.2,20452.1,20561.9,20019.5,20333.7,19441.2,18523.5,16398.1,17138.2,18218.2,18000.2,17497.6,17675.7,17881.8,17610.7,17257.5
 "49660" ,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",17414.3,17820.0,18098.8,18201.6,17696.3,18033.0,17181.7,16284.7,14174.0,14883.0,16027.8,15856.6,15410.2,15617.8,15844.8,15581.9,15208.3
 "49660" ,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),45.1,(D),(D),(D),58.6,57.5,38.5,39.5,49.5,70.5,(D),65.9,72.1,63.6,52.2,44.4
 "49660" ,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",29.3,26.9,32.5,36.0,32.9,33.0,35.2,20.8,21.6,32.8,52.4,41.6,41.2,43.6,36.6,22.9,(NA)
 "49660" ,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),17.2,(D),(D),(D),24.8,21.0,17.7,17.9,16.4,16.2,(D),26.6,31.1,29.6,30.9,(NA)
 "49660" ,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),146.7,(D),(D),(D),174.6,144.2,142.6,179.4,164.5,219.2,(D),375.9,420.7,620.5,619.3,518.2
 "49660" ,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),579.2,(NA)
 "49660" ,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),8.2,8.2,(D),(D),(D),40.8,29.7,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49660" ,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),23.9,21.3,21.3,22.9,26.1,(D),(NA)
 "49660" ,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),390.7,368.5,353.4,295.4,273.4,305.2,309.0,276.0,294.9,310.8,396.6,346.4,320.8,(D),(D),(D)
