GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "21660" ,"Eugene, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",10475.5,10826.0,11046.4,11647.7,11700.5,12299.9,12776.8,12947.8,12036.1,11853.9,12391.1,12386.7,12458.9,12485.7,13150.0,13374.5,13642.6
 "21660" ,"Eugene, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",8526.9,8891.5,9091.9,9702.7,9822.7,10450.6,10939.7,11048.9,10096.6,10002.3,10481.5,10482.7,10636.1,10644.4,11274.5,11501.5,11755.3
 "21660" ,"Eugene, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",161.9,162.7,169.2,140.6,130.3,174.3,130.4,133.5,142.8,159.6,131.1,151.7,147.8,153.3,160.1,174.4,174.7
 "21660" ,"Eugene, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",32.3,35.3,46.8,43.3,46.7,69.3,50.6,43.5,58.0,46.1,38.7,47.4,50.6,56.0,64.8,84.9,(NA)
 "21660" ,"Eugene, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",132.5,130.1,124.5,97.9,82.6,103.1,78.6,91.5,84.8,114.4,92.9,103.7,94.7,93.3,90.2,85.0,(NA)
 "21660" ,"Eugene, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",29.6,29.8,34.6,37.5,54.2,64.7,83.5,60.9,56.3,30.0,29.7,28.1,31.5,32.0,30.3,33.6,36.2
 "21660" ,"Eugene, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),(D),(D),(D),(D),(D),0.1,0.3,1.3,0.8,0.1,(L),0.1,0.0,0.0,(NA)
 "21660" ,"Eugene, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",29.8,29.9,(D),(D),(D),64.8,83.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21660" ,"Eugene, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,(L),(L),0.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21660" ,"Eugene, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",58.4,58.5,62.1,62.2,61.3,64.2,101.7,55.1,60.6,48.9,47.2,76.4,81.8,74.3,73.3,70.3,73.1
