GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",5379.2,5481.3,5571.6,5684.3,6167.6,6062.6,6028.7,6150.7,6275.8,6498.1,6587.1,6955.3,7326.7,7643.5,7860.3,7954.9,8091.0
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3253.1,3284.4,3305.3,3291.5,3686.1,3522.7,3458.6,3513.9,3620.7,3812.1,3906.9,4189.5,4516.8,4839.4,5050.0,5058.3,5195.1
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",40.1,33.6,39.7,41.4,39.6,39.9,25.8,11.8,4.3,20.2,31.1,31.4,38.6,45.3,19.7,10.1,9.4
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",26.3,21.0,27.1,29.1,27.5,27.5,17.4,6.5,0.0,13.6,23.5,22.6,27.5,33.5,10.0,0.0,(NA)
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",9.0,8.6,7.8,7.1,7.2,7.4,5.2,4.5,4.3,6.0,6.0,7.6,9.8,9.8,9.5,9.6,(NA)
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",27.0,28.2,32.5,37.7,38.9,38.7,37.2,30.6,27.4,59.2,76.4,252.8,311.2,490.4,587.4,626.7,545.8
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),7.1,9.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",19.3,19.7,(D),(D),28.9,28.1,26.1,16.4,11.3,17.0,15.5,(D),(D),(D),(D),(D),(NA)
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),68.3,47.5,63.1,(D),10.5,(NA)
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",48.9,42.6,40.4,45.3,47.1,45.7,44.5,46.1,43.8,48.2,49.7,46.3,40.3,36.8,37.7,40.5,43.0
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",224.1,253.2,254.3,276.0,275.5,242.3,222.4,215.2,207.3,240.7,278.2,240.7,250.0,249.7,255.8,250.5,252.6
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",455.0,447.6,421.9,376.2,588.5,454.5,384.8,380.8,350.7,414.8,389.4,483.1,527.2,461.2,506.2,509.6,540.2
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),307.8,280.5,254.8,240.3,259.4,268.4,272.6,272.5,305.5,324.5,383.8,399.9,392.1,408.1,407.4,430.0
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",6.8,6.2,6.6,6.0,14.2,10.4,6.9,7.3,8.1,12.1,11.2,13.4,7.1,2.8,2.7,3.0,(NA)
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",151.7,138.3,106.6,49.7,36.7,36.9,36.0,38.8,27.5,27.2,31.4,36.7,35.3,36.5,34.5,32.3,(NA)
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",2.3,5.4,6.7,9.7,20.5,22.3,29.8,28.5,21.3,26.9,33.9,33.6,35.2,35.5,35.4,33.2,(NA)
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",27.6,24.8,13.3,9.9,9.3,11.0,14.0,16.4,10.7,9.9,11.0,8.5,22.5,20.0,17.4,16.1,(NA)
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",63.0,58.7,65.3,83.8,78.4,99.0,118.3,145.8,179.2,201.3,209.0,267.7,272.1,277.7,300.1,306.6,(NA)
 "44300" ,"State College, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",0.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.7,(D),1.0,0.7,(NA)
