GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",19115.9,19172.5,19596.7,20073.4,20392.2,21161.3,21637.2,21752.1,20379.1,21012.0,21344.9,21896.2,21734.9,21661.1,22282.1,22735.7,23425.1
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",16258.5,16030.8,16516.8,17074.6,17438.2,18208.5,18763.2,18922.2,17589.3,18145.6,18345.4,18806.7,18683.2,18447.4,19061.0,19489.2,20179.2
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",39.3,27.6,25.3,33.2,39.0,19.8,28.6,32.4,37.2,29.3,12.0,39.2,44.4,56.2,65.4,69.0,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),25.7,32.4,29.9,36.6,30.0
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.5,0.9,0.3,0.3,1.2,0.8,(D),0.5,0.4,0.3,0.6,1.1,1.3,1.1,1.1,0.9,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.1,0.1,(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),118.6,117.4,(D),(D),(D)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",938.9,(D),(D),(D),(D),(D),(D),(D),780.5,860.2,(D),(D),(D),(D),(D),(D),(D)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",3179.6,3148.9,3072.0,3406.5,3444.8,3720.4,3896.8,3742.2,3337.3,3766.7,3896.1,4195.7,4421.7,4157.9,4131.9,4138.4,4422.1
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",1344.1,1353.8,1378.1,1509.9,1608.4,1674.2,1629.1,(D),(D),(D),(D),(D),2225.8,2146.6,2127.7,2123.6,2413.0
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),14.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),31.1,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),123.2,131.2,144.7,144.3,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),85.4,78.3,90.0,105.8,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",516.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),396.6,371.5,366.0,335.0,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),37.1,37.8,31.5,(D),34.1,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),348.6,287.5,282.9,269.1,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),6.8,(D),6.2,5.4,(D),(D),(D),(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),10.7,11.0,13.8,14.0,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),96.3,96.7,113.3,110.5,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",1844.8,1801.7,1694.4,1899.3,1829.7,2045.4,2279.0,(D),(D),(D),(D),(D),2211.7,2030.1,2022.6,2032.7,2038.3
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),949.9,908.1,810.6,758.7,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),192.0,208.1,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),10.2,(D),(D),(D),(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),176.8,177.6,186.4,211.1,(NA)
