GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",16398.5,16560.4,17128.8,17646.0,18423.7,18973.6,19679.2,20063.9,19780.2,20175.8,20647.1,20258.8,20191.0,20616.2,21055.3,21459.2,21998.8
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",13228.3,13336.3,13897.7,14435.4,15225.2,15737.1,16455.1,16695.0,16395.8,16847.4,17366.0,16898.8,16892.5,17284.4,17744.3,18036.4,18516.4
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),93.9,81.7,81.7,70.1,47.1,48.0,65.7,75.1,59.0,49.6,(D),(D),(D),(D)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",34.5,54.3,71.4,42.8,34.7,28.8,24.2,11.0,19.3,36.4,41.4,23.4,15.5,9.5,39.1,44.6,(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),48.6,45.4,51.7,45.1,37.3,28.7,28.8,33.2,39.4,39.1,(D),(D),(D),(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),60.2,84.2,102.1,125.2,130.5,89.4,49.4,24.4,25.6,20.3,(D),(D),(D),(D)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,(L),0.0,0.0,0.0,0.0,0.0,0.0,(L),(L),(L),(L),(L),(L),(L),(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),47.8,73.8,96.4,109.3,119.9,83.0,(D),(D),(D),(D),21.2,32.4,45.2,(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",6.7,5.3,7.7,10.4,9.5,6.5,14.6,10.5,6.4,(D),(D),(D),(D),(D),(D),(D),(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",972.2,880.7,949.3,1021.1,1021.8,1057.0,1124.2,1144.2,1045.5,944.6,887.2,841.2,869.8,843.8,883.5,922.9,973.1
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1496.1,1402.5,1440.5,1492.7,1729.5,1898.6,(D),2012.2,1917.9,1811.1,1883.6,1935.7,1960.0,1838.3,1881.9,1856.0,1842.0
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1485.5,1403.6,1400.4,1350.7,1333.6
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),86.9,(D),(D),(D),(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),248.2,199.7,202.9,(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",144.0,131.1,138.5,148.4,181.4,235.0,278.1,260.4,229.7,208.7,220.5,229.5,152.5,146.5,139.3,127.3,(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),255.0,230.8,260.6,375.4,325.0,309.0,(D),(D),(D),(D),(D),(D),(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),60.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),51.0,59.2,(D),(D),(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",32.5,32.9,46.9,(D),72.7,85.4,79.0,65.7,(D),42.9,40.4,45.0,90.2,46.8,44.4,44.2,(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),39.1,40.8,41.7,(D),(D),(D),(D),(D),25.7,21.6,(D),(NA)
 "44060" ,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),473.9,434.6,479.0,499.9,502.5
