GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",5167.4,5331.8,5662.7,5836.1,6025.2,6038.9,6128.6,6044.2,5740.0,5889.0,5934.2,6272.6,6309.3,6523.5,6827.2,6981.6,7118.9
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",4659.7,4809.3,5119.4,5287.2,5468.6,5481.2,5571.0,5464.6,5140.4,5307.5,5366.9,5693.5,5758.6,5971.9,6292.9,6453.9,6588.8
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",98.6,87.1,97.1,97.4,104.1,95.4,101.9,100.7,69.3,119.8,128.7,117.4,109.4,159.0,153.5,164.3,150.6
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",93.9,82.5,90.5,90.0,92.2,81.7,89.8,89.8,60.1,111.0,119.9,105.9,99.2,146.8,142.1,149.5,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",3.8,3.8,5.7,6.8,12.2,14.2,12.3,10.6,9.2,8.5,8.3,12.5,11.0,12.3,11.5,14.6,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",14.5,12.6,17.4,18.1,10.0,16.0,16.7,14.3,11.2,7.5,5.5,5.9,14.5,31.6,53.4,50.5,31.6
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,(L),(L),(L),(L),(L),(L),0.0,(L),(L),0.1,0.1,0.1,0.2,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",14.5,12.6,17.5,18.1,10.0,16.0,16.7,14.3,11.2,7.5,5.5,5.9,14.5,31.4,53.2,50.3,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,0.0,(L),0.0,(L),0.0,0.0,(L),(L),(L),(L),(L),0.1,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",28.9,(D),31.3,32.9,32.9,36.9,36.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
