GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3290.7,3322.2,3282.2,3281.0,3189.0,3416.6,3289.8,3310.0,3441.8,3333.2,3445.7,3567.0,3584.8,4082.7,3913.2,3734.9,3823.0
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2791.6,2814.0,2760.9,2757.5,2642.0,2875.0,2751.0,2758.4,2888.3,2782.0,2898.7,3014.1,3049.0,3557.3,3378.2,3189.0,3292.1
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),2.9,2.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",0.0,6.1,6.0,0.6,0.0,9.2,3.9,5.5,6.6,6.7,8.7,5.4,0.0,9.7,8.2,6.4,(NA)
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),2.3,2.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),8.3,(D),9.7,7.3,8.3,(D),(D),(D),24.0,(D),54.6,(D),424.6,474.3,475.8,680.6
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),4.8,(D),(D),(D),7.0,11.5,(D),(D),33.0,(D),144.3,399.1,(D),(D),(NA)
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12.5,(D),(D),(NA)
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",(D),169.8,(D),(D),(D),213.7,(D),(D),(D),(D),186.8,(D),(D),205.0,201.8,169.9,171.0
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",(D),(D),(D),(D),(D),(D),(D),642.2,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),5.7,(D),4.6,6.0,(D),(D),3.4,1.9,1.9,2.5,1.1,1.2,1.5,1.3,1.0,(NA)
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",79.8,66.7,61.9,57.0,32.9,28.1,18.9,20.0,17.9,16.7,14.9,11.8,10.5,9.9,10.4,10.3,(NA)
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37620" ,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),52.4,34.3,41.1,36.7,20.8,17.0,18.4,18.4,14.5,16.9,14.3,13.8,(NA)
