GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAINC4,10,"...","Personal income (millions of dollars)","Millions of dollars",397.5,445.2,476.1,541.3,581.5,655.8,771.7,852.8,926.8,1062.4,1210.1,1396.7,1681.9,1805.3,1890.4,2010.7,2138.9,2128.9,2097.6,2189.0,2274.9,2324.8,2382.8,2542.0,2668.1,2724.4,2915.5,3105.7,3322.9,3468.5,3592.8,3677.8,3752.4,3901.1,4136.4,4322.9,4559.7,4846.3,5111.8,5643.4,5419.8,5709.5,6054.5,6364.9,6565.8,7063.5,6929.3,6884.0,7034.5
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",381.2,422.3,455.4,512.5,554.0,647.2,750.5,835.4,914.1,1052.7,1189.8,1386.3,1635.9,1782.4,1882.2,2000.6,2138.8,2118.2,2069.5,2174.1,2256.7,2286.7,2368.8,2505.5,2637.6,2705.1,2898.1,3099.6,3300.2,3460.2,3562.7,3670.2,3715.5,3885.7,4104.1,4286.3,4529.0,4838.1,5081.9,5659.3,5433.0,5687.7,6044.0,6372.9,6513.3,7024.3,6879.3,6854.5,6991.0
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAINC4,12,"..."," Farm income 2/","Millions of dollars",16.2,22.9,20.7,28.8,27.6,8.6,21.2,17.4,12.6,9.7,20.3,10.5,46.0,23.0,8.3,10.1,0.1,10.7,28.0,14.9,18.3,38.1,14.0,36.5,30.5,19.3,17.4,6.2,22.7,8.3,30.1,7.6,36.8,15.4,32.4,36.5,30.7,8.3,29.9,-15.9,-13.2,21.8,10.4,-8.0,52.5,39.2,50.0,29.5,43.5
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAINC4,20,"...","Population (persons) 3/","Number of persons",125138,122505,124841,128517,127533,128625,131031,133379,133052,134462,136601,140098,143310,148899,152939,153587,153470,155031,153655,150042,149324,147834,147400,149917,152909,153779,156097,156351,157405,158264,159755,160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165583,166633,167452,167426,168143,169478,169733,170219
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3176,3634,3813,4212,4560,5099,5889,6394,6965,7901,8858,9970,11736,12125,12361,13092,13937,13732,13651,14589,15235,15726,16165,16956,17449,17716,18678,19864,21111,21916,22490,22945,23612,24534,26047,26992,28363,30029,31550,34727,33070,34481,36334,38010,39216,42009,40886,40558,41326
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAINC4,35,"...","Earnings by place of work","Millions of dollars",314.2,345.5,367.8,421.7,446.7,496.4,583.2,650.3,708.0,815.5,936.2,1064.2,1293.2,1341.1,1379.6,1457.7,1530.9,1506.8,1458.3,1535.8,1540.1,1595.4,1638.9,1756.9,1831.7,1892.0,1991.8,2126.6,2321.1,2414.2,2542.1,2548.0,2592.6,2730.7,2907.4,3082.0,3219.9,3465.0,3573.5,3849.4,3662.7,3858.3,4004.8,4224.1,4487.6,4808.1,4542.7,4373.2,4443.7
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAINC4,36,"...","Less: Contributions for government social insurance 5/","Millions of dollars",18.3,19.9,22.3,26.1,31.8,38.3,44.3,50.6,55.8,65.5,78.6,91.3,116.8,125.5,129.7,140.4,150.1,144.8,138.6,152.2,154.7,156.7,168.3,176.7,184.2,193.4,203.8,214.1,227.1,232.4,240.2,244.2,251.1,266.9,284.0,301.3,315.0,334.6,355.1,377.5,377.1,386.2,357.6,376.0,434.7,458.1,455.3,455.1,477.2
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Millions of dollars",9.6,10.2,11.2,12.8,16.2,19.4,21.8,24.3,27.1,31.8,38.3,45.2,58.2,62.7,63.9,68.0,75.2,73.0,69.6,77.8,80.9,81.2,87.4,91.5,95.8,101.6,108.1,113.4,120.8,124.0,128.9,129.2,130.8,139.3,144.5,154.0,162.5,174.1,184.9,200.0,198.8,200.2,164.6,171.5,227.0,240.2,237.4,237.7,246.5
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAINC4,38,"..."," Employer contributions for government social insurance","Millions of dollars",8.7,9.7,11.1,13.3,15.7,18.8,22.5,26.3,28.7,33.7,40.3,46.2,58.6,62.7,65.8,72.4,74.9,71.8,69.1,74.3,73.8,75.5,80.8,85.3,88.4,91.8,95.7,100.7,106.3,108.3,111.3,115.0,120.3,127.6,139.5,147.3,152.5,160.4,170.1,177.4,178.3,185.9,192.9,204.5,207.7,217.9,217.9,217.3,230.8
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAINC4,42,"...","Plus: Adjustment for residence 6/","Millions of dollars",1.7,1.9,2.0,2.4,2.5,1.6,1.7,2.1,2.2,1.5,1.0,0.4,-3.1,-1.7,-2.2,-2.6,-2.4,-0.3,1.5,3.3,7.4,10.2,5.0,6.1,6.2,4.5,3.5,3.1,4.4,6.3,7.6,10.1,11.0,5.5,3.8,2.7,1.9,0.4,-4.3,-4.1,-6.8,-2.9,5.7,16.3,21.0,28.3,19.9,8.9,20.4
